"filename", "language", "YAML", "JavaScript", "Markdown", "Ignore", "JSON", "Docker", "HTML", "JavaScript JSX", "CSS", "XML", "TypeScript", "JSON with Comments", "Properties", "comment", "blank", "total"
"/home/ankit/Projects/zenChat/client/src/components/ChatsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 27, 17, 325
"/home/ankit/Projects/zenChat/client/src/components/DesktopOnly.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/ankit/Projects/zenChat/client/src/components/IncomingCall.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"/home/ankit/Projects/zenChat/client/src/components/Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/home/ankit/Projects/zenChat/client/src/components/PopupAlert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"/home/ankit/Projects/zenChat/client/src/components/PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 4, 16
"/home/ankit/Projects/zenChat/client/src/components/ProfileSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"/home/ankit/Projects/zenChat/client/src/components/PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 4, 16
"/home/ankit/Projects/zenChat/client/src/components/RecentChatsSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 10, 111
"/home/ankit/Projects/zenChat/client/src/components/RecentUserChatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 4, 4, 78
"/home/ankit/Projects/zenChat/client/src/components/SearchUserSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 10, 108
"/home/ankit/Projects/zenChat/client/src/components/SideMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"/home/ankit/Projects/zenChat/client/src/components/ThemeSwitchButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/ankit/Projects/zenChat/client/src/components/VideoChat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 1, 5, 72
"/home/ankit/Projects/zenChat/client/src/context/AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 21, 15, 118
"/home/ankit/Projects/zenChat/client/src/context/ChatContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 40, 33, 265
"/home/ankit/Projects/zenChat/client/src/context/SocketContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 11, 57
"/home/ankit/Projects/zenChat/client/src/context/ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/ankit/Projects/zenChat/client/src/context/ThemeContextWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/ankit/Projects/zenChat/client/src/context/WebRtcContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 32, 40, 325
"/home/ankit/Projects/zenChat/client/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 13, 70
"/home/ankit/Projects/zenChat/client/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/home/ankit/Projects/zenChat/client/src/pages/Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"/home/ankit/Projects/zenChat/client/src/pages/Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 2, 11, 96
"/home/ankit/Projects/zenChat/client/src/pages/Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 2, 10, 102
"/home/ankit/Projects/zenChat/client/src/utils/index.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 107
"/home/ankit/Projects/zenChat/client/tailwind.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"/home/ankit/Projects/zenChat/client/vercel.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/ankit/Projects/zenChat/client/vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/home/ankit/Projects/zenChat/docker-compose.yml", "YAML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"Total", "-", 32, 265, 113, 2, 9360, 24, 13, 2077, 52, 2, 1984, 24, 14, 392, 794, 15148
